,Unnamed: 0.1,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,milliseconds_numeric
6214,6214,24221,24227,1011,20,6,5,2,5,5,5,10.0,57,+36.068,5697363,43,4,1:34.895,205.313,1,5697363
6215,6215,24222,24228,1011,846,1,4,9,6,6,6,8.0,57,+45.754,5707049,14,12,1:35.777,203.422,1,5707049
6216,6216,24223,24229,1011,8,51,7,8,7,7,7,6.0,57,+47.470,5708765,45,11,1:35.589,203.822,1,5708765
6217,6217,24224,24230,1011,842,9,10,13,8,8,8,4.0,57,+58.094,5719389,42,8,1:35.291,204.460,1,5719389
6218,6218,24225,24231,1011,848,5,23,12,9,9,9,2.0,57,+1:02.697,5723992,39,16,1:36.752,201.372,1,5723992
6219,6219,24226,24232,1011,815,211,11,14,10,10,10,1.0,57,+1:03.696,5724991,51,14,1:36.330,202.254,1,5724991
6220,6220,24227,24233,1011,841,51,99,16,11,11,11,0.0,57,+1:04.599,5725894,42,7,1:35.237,204.575,1,5725894
6221,6221,24237,24243,1012,1,131,44,2,1,1,1,25.0,56,1:32:06.350,5526350,47,5,1:35.892,204.642,1,5526350
6222,6222,24238,24244,1012,822,131,77,1,2,2,2,18.0,56,+6.552,5532902,38,4,1:34.872,206.842,1,5532902
6223,6223,24239,24245,1012,20,6,5,3,3,3,3,15.0,56,+13.774,5540124,37,2,1:34.836,206.921,1,5540124
6224,6224,24240,24246,1012,830,9,33,5,4,4,4,12.0,56,+27.627,5553977,45,6,1:36.143,204.108,1,5553977
6225,6225,24241,24247,1012,844,6,16,4,5,5,5,10.0,56,+31.276,5557626,45,3,1:34.860,206.869,1,5557626
6226,6226,24242,24248,1012,842,9,10,6,6,6,6,9.0,56,+1:29.307,5615657,55,1,1:34.742,207.126,1,5615657
6227,6227,24257,24263,1013,822,131,77,1,1,1,1,25.0,51,1:31:52.942,5512942,50,2,1:44.024,207.748,1,5512942
6228,6228,24258,24264,1013,1,131,44,2,2,2,2,18.0,51,+1.524,5514466,48,3,1:44.166,207.465,1,5514466
6229,6229,24259,24265,1013,20,6,5,3,3,3,3,15.0,51,+11.739,5524681,46,4,1:44.629,206.546,1,5524681
6230,6230,24260,24266,1013,830,9,33,4,4,4,4,12.0,51,+17.493,5530435,39,5,1:44.794,206.221,1,5530435
6231,6231,24261,24267,1013,844,6,16,8,5,5,5,11.0,51,+1:09.107,5582049,50,1,1:43.009,209.795,1,5582049
6232,6232,24262,24268,1013,815,211,11,5,6,6,6,8.0,51,+1:16.416,5589358,49,7,1:45.524,204.795,1,5589358
6233,6233,24263,24269,1013,832,1,55,9,7,7,7,6.0,51,+1:23.826,5596768,43,10,1:45.807,204.247,1,5596768
6234,6234,24264,24270,1013,846,1,4,7,8,8,8,4.0,51,+1:40.268,5613210,43,6,1:45.394,205.047,1,5613210
6235,6235,24265,24271,1013,840,211,18,13,9,9,9,2.0,51,+1:43.816,5616758,38,12,1:46.009,203.858,1,5616758
6236,6236,24277,24283,1014,1,131,44,2,1,1,1,26.0,66,1:35:50.443,5750443,54,1,1:18.492,213.499,1,5750443
